CustomerID,Age,Gender,Region,SubscriptionPlan,Tenure months,MonthlySpend,SupportTickets,LastLoginDaysAgo,Churn
CUST1087,57,Male,West,Premium,2,938.98,2,65,0
CUST1088,38,Female,North,Premium,14,1165.71,1,73,0
CUST1089,33,Male,West,Premium,20,469.53,3,60,0
CUST1090,62,Male,North,Premium,22,554.38,2,42,1
CUST1091,35,Female,East,Premium,11,1282.48,1,24,0
CUST1092,64,Male,North,Basic,27,687.03,0,19,0
CUST1093,41,Female,West,Standard,3,327.47,1,47,0
CUST1094,43,Female,East,Basic,17,484.55,2,82,1
CUST1095,42,Male,East,Premium,28,568.34,3,86,1
CUST1096,62,Male,East,Basic,29,1448.79,0,23,0
CUST1097,58,Female,West,Premium,21,987.65,1,10,1
CUST1098,46,Male,South,Premium,16,1419.28,2,54,1
CUST1099,32,Male,South,Basic,20,990.2,3,27,0
CUST1100,62,Male,South,Premium,6,875.23,1,68,0
CUST1101,18,Female,West,Standard,19,676.47,1,62,0
CUST1102,42,Female,East,Premium,5,1027.65,3,58,0
CUST1103,24,Male,South,Standard,3,467.04,2,4,1
CUST1104,26,Female,West,Standard,1,1377.91,2,50,0
CUST1105,41,Female,South,Premium,15,1295.2,2,20,1
CUST1106,18,Female,North,Basic,34,681.04,3,11,0
CUST1107,61,Female,South,Standard,35,1443.36,2,49,0
CUST1108,25,Female,South,Basic,25,1290.24,3,3,0
CUST1109,41,Male,East,Standard,24,1099.57,1,41,0
CUST1110,28,Male,West,Premium,12,446.11,0,83,1
CUST1111,68,Male,East,Premium,18,873.88,0,37,1
CUST1112,34,Female,East,Standard,15,907.33,0,24,0
CUST1113,25,Female,East,Premium,16,579.06,3,13,0
CUST1114,52,Male,East,Standard,27,395.96,4,74,0
CUST1115,52,Female,East,Premium,8,1232.07,0,31,0
CUST1116,50,Male,South,Basic,25,446.44,3,10,0
CUST1117,22,Male,East,Premium,17,1013.15,2,60,0
CUST1118,59,Male,East,Basic,29,1423.74,2,17,0
CUST1119,56,Female,West,Premium,8,1351.33,0,26,1
CUST1120,58,Female,North,Basic,15,633.3,3,54,0
CUST1121,45,Male,South,Premium,27,1321.74,1,53,0
CUST1122,24,Male,South,Basic,7,300.4,2,81,0
CUST1123,26,Male,South,Standard,3,321.23,1,86,0
CUST1124,25,Male,East,Standard,29,1023.06,1,74,0
CUST1125,29,Female,East,Basic,24,737.76,1,20,1
CUST1126,51,Female,East,Premium,3,763.75,1,43,1
CUST1127,50,Male,West,Basic,20,977.33,1,4,0
CUST1128,65,Male,North,Premium,15,530.14,3,86,0
CUST1129,40,Female,East,Standard,25,554.11,1,40,0
CUST1130,41,Female,North,Premium,30,881.52,2,58,1
CUST1131,54,Male,West,Standard,14,1205.1,0,88,0
CUST1132,52,Male,South,Premium,7,1043.4,3,53,0
CUST1133,61,Male,East,Premium,17,656.83,1,73,0
CUST1134,57,Female,North,Premium,20,816.4,0,21,0
CUST1135,39,Female,North,Basic,9,504.8,1,82,0
CUST1136,44,Female,East,Basic,22,389.56,2,64,1
CUST1137,52,Male,South,Standard,2,1239.24,0,63,0
CUST1138,18,Male,South,Standard,24,618.46,0,70,0
CUST1139,52,Female,South,Basic,8,513.32,2,3,0
CUST1140,54,Female,West,Standard,11,1129.94,1,64,1
CUST1141,64,Male,North,Basic,13,1041.66,1,14,1
CUST1142,31,Female,North,Premium,17,1059.83,2,75,0
CUST1143,20,Female,North,Standard,8,574.67,1,21,1
CUST1144,18,Male,West,Standard,21,579.17,2,85,0
CUST1145,22,Female,North,Basic,18,564.96,1,46,0
CUST1146,43,Male,West,Standard,30,508.5,0,80,0
CUST1147,31,Male,South,Standard,18,1086.87,4,45,0
CUST1148,56,Male,East,Premium,31,1317.62,0,13,0
CUST1149,44,Male,North,Standard,32,1169.18,1,49,0
CUST1150,26,Male,North,Premium,11,1250.51,2,19,0
CUST1151,32,Male,South,Basic,25,785.76,0,49,1
CUST1152,32,Male,East,Standard,33,1084.89,2,32,0
CUST1153,43,Female,West,Premium,8,725.08,2,58,0
CUST1154,59,Male,East,Basic,11,930.61,2,42,0
CUST1155,30,Male,South,Standard,22,877.96,1,78,1
CUST1156,68,Female,South,Basic,24,512.26,2,11,0
CUST1157,49,Female,East,Standard,17,764.49,2,39,0
CUST1158,56,Female,West,Basic,12,1456.59,1,19,1
CUST1159,66,Male,West,Basic,32,598.3,3,37,0
CUST1160,69,Female,North,Premium,15,460.56,2,2,0
CUST1161,49,Male,West,Basic,16,802.3,1,27,1
CUST1162,21,Male,East,Standard,22,1248.41,2,55,0
CUST1163,47,Male,South,Standard,28,998.58,2,89,0
CUST1164,54,Male,North,Premium,20,1117.17,3,12,0
CUST1165,40,Female,North,Standard,33,527.63,2,76,0
CUST1166,56,Female,South,Standard,10,1042.74,2,65,0
CUST1167,62,Male,West,Standard,32,688.2,3,36,0
CUST1168,32,Male,South,Basic,33,1301.16,3,48,0
CUST1169,60,Male,West,Basic,2,1055.16,3,65,0
CUST1170,46,Female,South,Standard,33,538.63,1,35,1
CUST1171,53,Male,East,Premium,33,377.54,0,53,0
CUST1172,30,Male,West,Basic,13,351.16,1,25,0
CUST1173,49,Female,East,Premium,30,745.69,1,74,1
CUST1174,24,Female,North,Standard,33,619.02,1,71,0
CUST1175,68,Male,South,Standard,13,1075.31,1,39,0
CUST1176,39,Female,North,Basic,26,899.2,3,42,1
CUST1177,45,Female,North,Standard,22,619.22,3,21,0
CUST1178,19,Male,North,Basic,2,479.09,2,19,0
CUST1179,59,Female,North,Standard,26,452.64,3,7,1
CUST1180,62,Male,South,Standard,15,1337.59,1,28,0
CUST1181,23,Female,North,Basic,34,592.17,0,39,0
CUST1182,45,Male,South,Basic,11,1082.05,0,89,0
CUST1183,45,Male,South,Basic,3,1272.82,1,29,0
CUST1184,61,Male,East,Standard,6,1036.9,0,80,0
CUST1185,61,Female,West,Standard,9,1331.48,0,83,1
CUST1186,37,Male,West,Premium,6,770.87,5,54,0
CUST1187,47,Female,South,Basic,9,1447.47,2,15,1
CUST1188,28,Male,East,Standard,31,459.77,1,45,0
CUST1189,45,Male,South,Standard,32,422.58,1,61,1
CUST1190,42,Female,South,Basic,12,1090.43,3,6,1
CUST1191,56,Male,South,Premium,8,1431.4,0,79,0
CUST1192,50,Male,East,Basic,8,1270.66,2,44,0
CUST1193,18,Female,West,Premium,28,391.7,1,58,0
CUST1194,44,Male,East,Standard,20,635.24,1,55,0
CUST1195,69,Male,North,Premium,7,1416.38,2,47,1
CUST1196,30,Male,East,Standard,11,603.67,2,26,1
CUST1197,58,Male,East,Basic,20,1237.4,0,52,0
CUST1198,20,Female,East,Basic,16,1290.16,1,86,0
CUST1199,56,Female,East,Basic,4,894.54,3,87,0
CUST1200,23,Male,West,Premium,6,763.62,0,72,0
CUST1201,25,Female,North,Standard,22,840.15,0,34,0
CUST1202,44,Male,West,Basic,26,572.36,2,50,1
CUST1203,26,Female,West,Basic,3,1367.27,4,83,1
CUST1204,54,Male,East,Standard,14,840.74,2,36,0
CUST1205,50,Male,South,Basic,11,1358.95,1,80,0
CUST1206,68,Male,South,Standard,18,426.83,1,56,0
CUST1207,59,Male,West,Standard,12,1485.93,0,7,0
CUST1208,61,Male,West,Standard,23,831.93,3,78,0
CUST1209,41,Male,East,Standard,12,357.4,3,19,0
CUST1210,32,Female,West,Standard,13,345.63,1,52,1
CUST1211,49,Male,East,Premium,25,1195.45,0,11,0
CUST1212,49,Female,South,Basic,19,1090.84,4,48,0
CUST1213,41,Male,South,Premium,8,1262.56,1,16,1
CUST1214,58,Female,North,Basic,29,426.44,1,63,1
CUST1215,69,Female,South,Premium,32,342.69,2,41,0
CUST1216,66,Female,West,Standard,18,910.3,5,28,0
CUST1217,66,Male,South,Basic,6,765.11,3,18,0
CUST1218,69,Male,East,Basic,18,854.34,0,10,1
CUST1219,29,Female,South,Premium,19,1489.91,4,49,1
CUST1220,56,Male,North,Premium,22,1464.9,1,70,0
CUST1221,19,Female,South,Basic,32,1430.78,0,57,0
CUST1222,20,Male,East,Premium,3,1240.61,1,33,1
CUST1223,66,Female,East,Premium,28,725.81,2,19,0
CUST1224,54,Female,West,Premium,10,794.56,3,49,0
CUST1225,66,Male,South,Standard,35,959.54,1,87,0
CUST1226,34,Female,East,Standard,29,1296.64,2,9,0
CUST1227,66,Male,North,Premium,15,382.46,2,31,0
CUST1228,19,Female,West,Premium,33,809.16,1,51,1
CUST1229,19,Female,North,Standard,7,399.14,2,14,1
CUST1230,45,Male,South,Standard,12,917.59,3,83,0
CUST1231,40,Male,South,Basic,30,1378.68,2,2,0
CUST1232,54,Male,South,Basic,21,1238.98,2,36,0
CUST1233,49,Female,West,Standard,31,573.41,2,39,0
CUST1234,50,Male,East,Premium,24,1471.19,2,71,0
CUST1235,18,Female,West,Premium,20,1100.82,0,39,1
CUST1236,36,Female,North,Premium,4,312.51,0,55,0
CUST1237,19,Male,West,Premium,28,606.5,4,22,0
CUST1238,61,Male,North,Basic,20,612.86,1,10,0
CUST1239,43,Female,West,Standard,24,383.11,4,63,1
CUST1240,49,Female,East,Premium,32,1451.79,2,7,1
CUST1241,23,Male,North,Basic,34,873.91,1,55,1
CUST1242,49,Male,South,Premium,2,1374.98,1,59,1
CUST1243,21,Male,South,Standard,15,686.66,2,9,0
CUST1244,28,Male,West,Basic,34,450.28,1,38,0
CUST1245,34,Male,South,Standard,6,869.2,0,27,0
CUST1246,55,Female,North,Standard,12,436.75,2,48,0
CUST1247,41,Female,South,Basic,3,883.22,1,35,0
CUST1248,22,Female,East,Basic,18,1404.36,0,12,0
CUST1249,69,Female,East,Basic,21,924.92,1,35,0
CUST1250,51,Male,West,Basic,15,1039.8,2,25,0
CUST1251,23,Male,North,Basic,33,487.97,2,85,0
CUST1252,39,Male,East,Basic,35,352.48,3,3,1
CUST1253,28,Female,East,Basic,26,432.97,3,81,0
CUST1254,65,Female,North,Premium,8,1018.24,0,63,0
CUST1255,33,Male,South,Standard,30,414.01,0,37,0
CUST1256,50,Male,South,Basic,23,751.19,4,87,0
CUST1257,26,Female,West,Premium,14,960.11,0,86,0
CUST1258,23,Female,South,Premium,14,766.38,3,21,0
CUST1259,33,Male,North,Premium,2,496.42,2,1,0
CUST1260,46,Male,East,Standard,5,628.55,2,30,0
CUST1261,20,Female,South,Basic,14,1413.98,4,10,0
CUST1262,37,Male,West,Premium,25,1111.18,2,45,0
CUST1263,53,Male,South,Standard,20,895.26,1,61,0
CUST1264,36,Male,North,Standard,2,315.26,3,68,0
CUST1265,43,Female,West,Standard,6,1490.9,2,63,0
CUST1266,20,Female,South,Premium,17,1105.75,3,9,0
CUST1267,36,Female,West,Basic,25,680.31,1,39,0
CUST1268,37,Female,North,Premium,28,1355.12,1,23,0
CUST1269,49,Female,East,Premium,2,610.12,4,43,0
CUST1270,24,Female,North,Basic,35,952.82,3,59,0
CUST1271,69,Female,North,Basic,5,1063.28,2,61,1
CUST1272,58,Male,North,Basic,1,565.28,3,86,1
CUST1273,50,Male,North,Standard,12,1474.08,2,16,1
CUST1274,57,Male,East,Basic,23,1197.83,1,64,0
CUST1275,56,Male,East,Premium,31,969.38,2,56,0
CUST1276,35,Male,West,Basic,11,516.71,2,54,0
CUST1277,57,Male,South,Premium,10,364.63,2,52,0
CUST1278,18,Male,East,Standard,3,684.07,0,55,0
CUST1279,28,Female,East,Premium,14,1203.82,0,8,0
CUST1280,45,Female,South,Premium,16,623.2,0,21,1
CUST1281,42,Male,East,Basic,10,947.47,2,12,0
CUST1282,67,Male,North,Basic,29,1173.54,4,88,1
CUST1283,40,Female,North,Premium,10,429.53,2,47,0
CUST1284,48,Male,South,Basic,12,1122.36,1,17,0
CUST1285,47,Male,West,Standard,30,410.25,6,75,0
CUST1286,59,Female,West,Standard,1,1458.16,1,39,0
CUST1287,52,Male,South,Basic,5,886.07,1,16,1
CUST1288,24,Female,South,Standard,20,480.81,1,14,0
CUST1289,33,Male,North,Basic,8,710.86,2,14,0
CUST1290,43,Female,West,Premium,12,796.1,1,78,1
CUST1291,65,Female,East,Premium,1,1209.82,1,62,0
CUST1292,69,Female,North,Standard,20,1192.11,1,38,1
CUST1293,66,Male,South,Basic,28,1034.33,4,12,0
CUST1294,19,Female,West,Basic,12,427.12,1,80,0
CUST1295,18,Male,East,Standard,28,481.88,0,31,0
CUST1296,65,Male,East,Premium,15,412.51,0,8,0
CUST1297,29,Male,North,Standard,6,992.61,1,39,0
CUST1298,22,Male,West,Premium,20,1352.57,3,19,0
CUST1299,54,Female,West,Basic,14,820.56,5,89,1
CUST1300,49,Female,South,Premium,2,493.02,2,84,1
CUST1301,26,Male,West,Standard,9,969.65,1,81,0
CUST1302,58,Male,West,Basic,20,1274.1,1,76,0
CUST1303,52,Female,North,Standard,26,1190.05,2,79,0
CUST1304,36,Male,West,Standard,29,1357.74,1,72,0
CUST1305,65,Female,East,Premium,1,633.48,1,62,0
CUST1306,33,Male,North,Standard,35,532.74,3,75,0
CUST1307,20,Male,North,Premium,6,1355.78,4,43,0
CUST1308,37,Female,South,Basic,5,1089.07,1,37,0
CUST1309,41,Male,West,Premium,33,673.11,1,82,1
CUST1310,50,Female,South,Basic,14,1190.82,2,59,0
CUST1311,41,Male,East,Premium,12,1278.14,2,70,0
CUST1312,69,Male,North,Standard,20,1037.97,1,47,0
CUST1313,28,Male,North,Premium,24,1125.46,2,17,0
CUST1314,66,Female,North,Premium,34,750.31,2,15,0
CUST1315,25,Male,East,Basic,25,946.43,0,54,0
CUST1316,53,Male,East,Standard,29,928.99,2,38,1
CUST1317,55,Male,South,Premium,31,1317.66,2,67,0
CUST1318,57,Male,South,Standard,23,1307.96,0,58,0
CUST1319,37,Female,South,Premium,20,1299.22,2,88,1
CUST1320,52,Female,West,Premium,23,313.24,0,61,1
CUST1321,65,Male,North,Standard,16,1199.45,0,12,0
CUST1322,42,Female,North,Premium,8,1210.41,2,80,0
CUST1323,52,Male,South,Standard,21,1114.05,0,5,0
CUST1324,42,Male,North,Premium,1,1207.52,2,82,0
CUST1325,46,Male,South,Basic,8,1310.36,2,76,0
CUST1326,35,Female,West,Standard,29,864.38,2,59,0
CUST1327,63,Female,West,Premium,32,902.46,1,89,0
CUST1328,35,Female,East,Premium,5,449.66,2,13,0
CUST1329,19,Female,West,Basic,22,762.45,0,53,0
CUST1330,52,Female,South,Standard,34,1072.04,2,3,0
CUST1331,33,Female,West,Premium,1,1236.48,1,38,0
CUST1332,58,Female,East,Basic,26,560.65,1,71,0
CUST1333,53,Female,North,Premium,10,465.39,1,24,0
CUST1334,50,Female,South,Standard,30,1095.65,1,76,0
CUST1335,21,Male,North,Premium,18,302.26,1,31,0
CUST1336,50,Female,East,Premium,17,514.05,2,58,0
CUST1337,31,Female,East,Premium,26,334.89,3,62,0
CUST1338,38,Female,East,Premium,8,500.26,2,37,0
CUST1339,65,Female,North,Basic,12,517.58,0,52,1
CUST1340,37,Female,North,Basic,27,765.21,0,66,1
CUST1341,25,Female,North,Standard,8,782.79,1,27,0
CUST1342,24,Female,North,Basic,25,1349.11,0,2,0
CUST1343,20,Female,East,Basic,4,912.13,2,79,0
CUST1344,34,Female,East,Standard,33,1168.09,0,21,0
CUST1345,50,Female,South,Basic,1,424.96,0,37,0
CUST1346,65,Female,South,Basic,19,570.53,0,71,1
CUST1347,29,Male,North,Standard,31,1143.53,1,71,0
CUST1348,68,Male,West,Standard,16,363.36,0,61,0
CUST1349,39,Female,West,Standard,14,883.92,3,56,1
CUST1350,39,Female,East,Premium,5,1019.24,1,5,1
CUST1351,63,Male,East,Premium,26,1022.57,1,77,1
CUST1352,47,Female,East,Standard,28,327.52,1,31,0
CUST1353,55,Male,South,Standard,2,686.53,1,9,0
CUST1354,55,Male,South,Standard,6,1063.79,3,2,0
CUST1355,62,Male,East,Premium,9,478.8,2,58,0
CUST1356,68,Male,East,Premium,33,1134.5,2,75,0
CUST1357,25,Male,East,Basic,25,1195.11,1,48,0
CUST1358,44,Female,West,Basic,13,1478.36,0,58,1
CUST1359,44,Male,South,Standard,9,551.81,3,30,0
CUST1360,51,Female,West,Premium,13,1290.16,4,68,0
CUST1361,38,Female,West,Premium,31,924.36,2,61,0
CUST1362,47,Male,East,Premium,11,748.16,4,51,0
CUST1363,50,Male,East,Standard,4,446.85,1,88,0
CUST1364,45,Female,North,Basic,34,1182.61,0,40,0
CUST1365,64,Male,North,Standard,4,583.03,0,30,0
CUST1366,50,Male,West,Basic,19,745.71,1,84,1
CUST1367,22,Female,South,Basic,6,375.05,2,83,0
CUST1368,65,Female,East,Standard,34,1261.64,2,21,1
CUST1369,36,Male,East,Basic,18,1219.91,1,3,0
CUST1370,21,Female,West,Basic,13,1180.34,2,12,0
CUST1371,52,Male,North,Premium,23,659.33,0,44,0
CUST1372,66,Male,South,Basic,19,508.18,3,41,0
CUST1373,34,Male,North,Standard,11,1065.06,0,48,0
CUST1374,61,Female,North,Standard,1,895.4,4,19,0
CUST1375,45,Female,North,Basic,24,513.9,2,76,1
CUST1376,47,Female,North,Premium,7,1123.09,2,80,1
CUST1377,46,Female,East,Premium,25,1489.35,3,53,0
CUST1378,63,Female,East,Basic,21,1196.66,1,35,1
CUST1379,23,Male,North,Basic,15,1187.98,1,0,0
CUST1380,52,Male,South,Standard,1,1440.38,3,14,1
CUST1381,58,Male,West,Basic,12,543.52,2,76,0
CUST1382,54,Male,South,Premium,7,978.66,1,16,0
CUST1383,41,Female,South,Basic,15,1475.58,1,23,1
CUST1384,46,Male,South,Standard,21,498.35,2,57,0
CUST1385,66,Female,North,Standard,19,1140.3,0,71,1
CUST1386,63,Male,East,Standard,29,1002.97,3,22,0
CUST1387,48,Female,South,Standard,25,1003.77,2,45,0
CUST1388,52,Female,North,Standard,33,1137.2,2,71,0
CUST1389,50,Male,South,Basic,32,1415.54,0,7,0
CUST1390,69,Male,South,Basic,35,1239.1,0,58,0
CUST1391,38,Male,North,Basic,26,367.36,0,89,1
CUST1392,49,Male,East,Basic,11,1323.27,2,58,0
CUST1393,40,Female,East,Standard,35,570.65,1,12,1
CUST1394,50,Male,West,Premium,8,752.3,2,38,1
CUST1395,20,Male,North,Basic,14,854.08,0,27,0
CUST1396,35,Female,West,Premium,10,877.09,3,88,1
CUST1397,42,Male,West,Basic,2,822.22,1,60,1
CUST1398,59,Male,West,Basic,9,1424.82,3,15,1
CUST1399,48,Male,East,Premium,3,1147.22,3,1,1
CUST1400,20,Male,North,Standard,21,1057.4,1,81,1
CUST1401,57,Male,West,Basic,26,359.81,4,16,0
CUST1402,63,Female,North,Basic,8,1384.7,2,29,0
CUST1403,41,Male,North,Basic,2,1391.27,2,12,1
CUST1404,67,Male,East,Premium,6,1236.26,2,81,0
CUST1405,49,Male,West,Standard,28,308.44,1,12,0
CUST1406,64,Male,West,Premium,29,368.74,1,42,0
CUST1407,39,Male,North,Premium,26,570.27,0,84,1
CUST1408,40,Female,South,Standard,25,457.62,2,20,0
CUST1409,19,Male,East,Premium,12,778.6,0,54,1
CUST1410,44,Female,East,Standard,5,1407.15,2,80,0
CUST1411,59,Female,East,Basic,34,866.47,2,39,0
CUST1412,19,Male,East,Standard,15,316.08,1,82,0
CUST1413,43,Male,West,Basic,15,639.29,2,14,0
CUST1414,34,Male,West,Premium,23,353.51,2,72,0
CUST1415,57,Male,South,Premium,6,343.55,2,51,1
CUST1416,50,Female,East,Basic,21,630.86,3,73,1
CUST1417,26,Male,East,Premium,23,630.73,1,52,0
CUST1418,60,Male,North,Standard,16,1244.55,3,86,0
CUST1419,65,Male,West,Basic,15,1469.8,2,51,1
CUST1420,56,Male,East,Premium,25,745.45,0,29,1
CUST1421,46,Male,South,Basic,11,814.66,2,32,0
CUST1422,59,Male,South,Standard,15,1313.75,2,56,0
CUST1423,43,Female,West,Standard,4,621.77,2,51,0
CUST1424,52,Female,South,Premium,21,487.66,0,8,1
CUST1425,67,Male,South,Standard,13,1323.71,0,53,0
CUST1426,42,Male,West,Basic,22,355.8,1,0,0
CUST1427,41,Male,East,Standard,19,1043.64,0,43,0
CUST1428,30,Female,East,Basic,34,974.39,2,74,1
CUST1429,24,Male,South,Basic,14,715.1,4,79,0
CUST1430,53,Female,South,Standard,4,678.23,3,8,0
CUST1431,62,Male,East,Premium,27,1226.23,3,31,0
CUST1432,37,Male,West,Standard,29,403.71,1,14,0
CUST1433,18,Male,South,Basic,28,584.14,2,11,0
CUST1434,25,Male,North,Basic,35,1178.94,3,77,1
CUST1435,63,Female,West,Standard,8,957.98,1,56,1
CUST1436,33,Female,South,Premium,16,453.59,2,7,1
CUST1437,31,Male,South,Premium,30,1358.56,2,71,1
CUST1438,29,Male,North,Basic,18,772.14,3,26,0
CUST1439,68,Female,North,Basic,2,1293.44,1,61,1
CUST1440,40,Female,East,Premium,13,1245.26,1,11,0
CUST1441,32,Female,West,Standard,4,1049.31,2,64,0
CUST1442,45,Female,West,Basic,26,893.38,1,41,1
CUST1443,51,Male,East,Basic,25,1475.46,4,61,0
CUST1444,19,Female,West,Premium,30,473.96,1,10,0
CUST1445,49,Male,West,Standard,11,1170.19,3,42,0
CUST1446,40,Female,West,Premium,7,529.43,2,16,0
CUST1447,39,Female,West,Standard,31,705.92,0,31,0
CUST1448,68,Female,West,Standard,10,670.44,1,84,1
CUST1449,42,Female,North,Standard,13,1436.44,1,84,1
CUST1450,39,Female,West,Basic,31,1460.83,2,39,0
CUST1451,39,Male,North,Premium,7,519.62,4,22,0
CUST1452,66,Male,West,Premium,20,326.44,2,55,0
CUST1453,69,Female,East,Standard,4,1164.01,1,5,1
CUST1454,59,Female,South,Basic,7,801.59,1,85,0
CUST1455,23,Male,North,Basic,1,406.61,4,49,0
CUST1456,32,Female,West,Premium,13,1120.5,2,36,0
CUST1457,60,Female,East,Basic,22,954.13,5,63,0
CUST1458,54,Male,South,Basic,21,1476.62,3,53,0
CUST1459,50,Female,North,Standard,22,572.89,0,71,1
CUST1460,25,Female,South,Basic,28,784.77,5,48,0
CUST1461,61,Male,East,Standard,9,951.05,1,10,0
CUST1462,61,Male,North,Premium,26,1250.04,0,87,0
CUST1463,22,Male,South,Basic,9,958.61,1,48,1
CUST1464,56,Female,West,Premium,15,1035.48,2,20,0
CUST1465,21,Male,North,Premium,10,571.38,1,65,0
CUST1466,23,Male,South,Basic,24,1316.3,2,62,0
CUST1467,62,Male,East,Basic,8,814.36,1,82,0
CUST1468,49,Male,East,Premium,24,469.15,0,27,1
CUST1469,69,Male,North,Basic,16,1097.03,1,16,0
CUST1470,47,Male,South,Standard,26,559.31,4,5,1
CUST1471,64,Female,North,Standard,27,417.08,2,18,0
